"","Country.of.Origin","Farm.Name","Mill","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Overall","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects"
"74","Mexico","FINCA SAN JUAN","COSECHA BIENESTAR SAPI SA DE CV","Centro Agroecológico del Café A. C.",1300,"Mexico","COSECHA BIENESTAR SAPI DE CV",275,"69 kg","Centro Agroecológico del Café A.C.","2019","August 17th, 2020","COSECHA BIENESTAR SAPI DE CV","Typica","Washed / Wet",7.5,7.5,7.25,7.42,7.33,7.33,10,10,10,7.58,81.92,0.11,"0",0,"Green","0"
"75","Brazil","Helena","Copag Varginha","ED&F Man Volcafe Brasil Ltda.",973,"Cerrado Mineiro, Monte Carmelo's region","Helena Pingnatti Ricci",440,"59 kg","Brazil Specialty Coffee Association","2019 / 2020","October 2nd, 2019","ED&F Man Volcafe Brasil Ltda.","Other","Natural / Dry",7.33,7.42,7.08,7.58,7.5,7.42,10,10,10,7.5,81.83,0.11,"0",0,"Blue-Green","1"
"76","Guatemala","VARIOS, PEQUEÑOS PRODUCTORES","BENEFICIO PASTORES","PETER SCHOENFELD, S.A.",1600,"PASTORES SACATEPEQUEZ","VARIOS, PEQUEÑOS PRODUCTORES",470,"69 kg","Asociacion Nacional Del Café","2019","August 29th, 2019","Byron Gonzalez","Bourbon","Washed / Wet",7.42,7.42,7.25,7.42,7.42,7.33,10,10,10,7.5,81.75,0.11,"0",1,"Green","4"
"77","Brazil","Moreno Cafés Especiais","Cereja Descascado","Nestlé Brasil S/A",1280,"Chapada Diamantina","Rodolfo Moreno",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Washed / Wet",7.42,7.33,7.33,7.33,7.67,7.25,10,10,10,7.42,81.75,0.11,"0",0,"Bluish-Green","0"
"78","Brazil","CAFEBRAS COMERCIO DE CAFÉ","DRY MILL","cafebras comércio de cafes do brasil",900,"CERRADO MINEIRO","CAFEBRAS COMERCIO DE CAFÉ",300,"60 kg","Brazil Specialty Coffee Association","2019","April 17th, 2020","João Batista Jarduli","Mundo Novo","Natural / Dry",7.25,7.42,7.25,7.58,7.5,7.33,10,10,10,7.42,81.75,0.11,"0",0,NA,"7"
"79","Brazil","CAFEBRASCOMERCIO DECAFE","DRY MILL","cafebras comércio de cafes do brasil",900,"CERRADO","CAFEBRAS COMERCIODE CAFÉ",20,"60 kg","Brazil Specialty Coffee Association","2019","April 17th, 2020","João Batista Jarduli","Mundo Novo","Natural / Dry",7.33,7.5,7.25,7.42,7.33,7.5,10,10,10,7.42,81.75,0.11,"0",0,"Green","6"
"80","Honduras","Las Cuchillas","Dry Mill","Mercon Honduras",1500,"Comayagua","Fausto Nahun Maldonado",275,"69 kg","Instituto Hondureño del Café","2020","June 2nd, 2020","Juan Manuel Sanchez Silvestre","Catuai","Washed / Wet",7.58,7.5,7.17,7.25,7.33,7.42,10,10,10,7.42,81.67,0.11,"0",0,"Green","4"
"81","Honduras","El Ejido","desculpado, lavado y secado en secadoras solares","Coffee planet Corporation S.A",1600,"Copan","Origenes Coffee Plantation",150,"69 kg","Instituto Hondureño del Café","2020","May 21st, 2020","Janny Marlith Torres","Catuai","Washed / Wet",7.58,7.42,7.25,7.33,7.42,7.25,10,10,10,7.42,81.67,0.1,"0",0,"Green","2"
"82","Brazil","Santa Rita de Cássia","Alfenas","Olam Specialty Coffee",1150,"Carmo de MInas","Carlos Henrique Moreira",300,"18000 kg","Brazil Specialty Coffee Association","2018","December 26th, 2019","Pedro Santos e Silva","Catuai","Natural / Dry",7.42,7.5,7.17,7.33,7.33,7.42,10,10,10,7.33,81.5,0.11,"0",0,"Green","8"
"83","Nicaragua","Exportadora Atlantic S.A","Dry Mill","Exportadora Atlantic S.A",1100,"Nueva segovia","Several producers",275,"69 kg","Asociación de Cafés Especiales de Nicaragua","2020","January 18th, 2020","Exportadora Atlantic, S.A.","Caturra","Washed / Wet",7.42,7.42,7.17,7.58,7.17,7.42,10,10,10,7.33,81.5,0.11,"2",2,"Green","9"
"84","El Salvador","TRES VOLCANES","ACPA. ATAISI DE R.L.","Consejo Salvadoreño del Café",1400,"APANECA - ILAMATEPEC","ACPA. ATAISI DE R.L.",275,"69 kg","Salvadoran Coffee Council","2019","May 19th, 2020","Consejo Salvadoreño del Café","Bourbon","Washed / Wet",7.25,7.58,7.33,7.42,7.25,7.33,10,10,10,7.25,81.42,0,"0",3,"Bluish-Green","2"
"85","El Salvador","Agua Caliente","Beneficio Agua Caliente","Consejo Salvadoreño del Café",1200,"Apaneca - Ilamatepec","J.J. Borja Nathan, S.A.",275,"69 kg","Salvadoran Coffee Council","2019","February 6th, 2020","Consejo Salvadoreño del Café","Bourbon","Washed / Wet",7.08,7.17,7.08,7.5,7.5,7.33,10,10,10,7.67,81.33,0.12,"0",2,"Green","5"
"86","Guatemala","BENEFICIO EL TORREON","BENEFICIO IXCHEL","UNEX (GUATEMALA), S. A.",1901.64,"oriente","AGROINDUSTRIAS CAFETALERAS",100,"69 kg","Asociacion Nacional Del Café","2020","April 21st, 2020","Byron Gonzalez","Bourbon","Washed / Wet",7.42,7.5,7.17,7.42,7.25,7.33,10,10,10,7.25,81.33,0.09,"0",2,"Green","4"
"87","Costa Rica","Beneficio Montañas del Diamante","Beneficio Montañas del Diamante","CECA,S.A.",1850,"Tarrazú","Martín Gutierrez",250,"69 kg","Specialty Coffee Association of Costa Rica","2020","March 27th, 2020","CECA, S.A.","Caturra","Washed / Wet",7.25,7.33,7.25,7.42,7.33,7.33,10,10,10,7.33,81.25,0.09,"0",2,"Green","4"
"88","Vietnam","APOLLO Estate","Dry Mill","Sunvirtue Co., Ltd.",1040,"Dalat","Yeh, Li Chuan",1,"2 kg","Specialty Coffee Association","2019","March 10th, 2020","Sunvirtue Co., Ltd.","Catimor","Washed / Wet",7.58,7.67,7.25,7.58,7.42,7.33,10,10,8.67,7.67,81.17,0.13,"0",0,"Bluish-Green","0"
"89","Indonesia","Pondokbaru, Benermeriah","Pondokbaru, Benermeriah","PT Rajawali Artha Agro Sejahtera (PTRAAS)",1200,"sumatra","PT. Rajawali Artha Agro Sejahtera",320,"60 kg","Specialty Coffee Association of Indonesia","2020","July 20th, 2020","PTRAAS","Mandheling","Washed / Wet",7.33,7.33,7.17,7.5,7.42,7.08,10,10,10,7.25,81.08,0.12,"0",8,"Green","4"
"90","Honduras","Cerro Negro","seco","Compañia Hondureña del Café S.A. de C.V.",1400,"Zona de Santa Marta, municipio de San Marcos, departamento de Ocotepeque, Honduras","Feliciano Rivera",275,"69 kg","Instituto Hondureño del Café","2019","July 9th, 2020","Compañia Hondureña del Cafe S.A de c.v.","Catimor","Washed / Wet",7.5,7.33,7.08,7.17,7.5,7.25,10,10,10,7.17,81,0.1,"0",0,"Green","5"
"91","Taiwan","He Yu coffee farm","yes","He Yu coffee farm",800,"Heping District Sanchakeng","He Yu coffee farm",100,"2 kg","Blossom Valley International<U+5BB8><U+5DA7><U+570B><U+969B>","2019","October 14th, 2019","Blossom Valley International","Typica","Pulped natural / honey",7.17,7.25,7.33,7.17,7.33,7.25,10,10,10,7.42,80.92,0.08,"0",0,"Green","0"
"92","Colombia","Sucafina Colombia SAS","Sucafina Colombia SAS","Sucafina Colombia SAS",1300,"HUILA","Sucafina Colombia SAS",275,"70 kg","CQI Colombia SAS","2019","February 12th, 2020","Sucafina Colombia SAS","Other","Washed / Wet",7.75,7.67,7.83,7.67,7.42,7.58,8.67,8.67,10,7.58,80.83,0.11,"0",1,"Green","3"
"93","Nicaragua","Aldea Global","Aldea Coffee","Asociación Aldea Global Jinotega",1100,"Matagalpa","Aldea Global",275,"69 kg","Asociación de Cafés Especiales de Nicaragua","2020","July 14th, 2020","Asociación Aldea Global Jinotega","SHG","Washed / Wet",7.33,7.17,6.83,7.25,7.5,7.33,10,10,10,7.33,80.75,0.12,"3",2,"Green","12"
"94","East Timor","TATANANNA","yes","EnviroLink Corporation",1800,"East Timor","none",167,"60 kg","Blossom Valley International<U+5BB8><U+5DA7><U+570B><U+969B>","2019","September 20th, 2019","Blossom Valley International","Typica","Washed / Wet",7.5,7.58,7.42,7.58,7.42,7.67,8,10,10,7.5,80.67,0.1,"0",0,"Green","0"
"95","El Salvador","TUXPAL","TUXPAL","Consejo Salvadoreño del Café",1200,"Apaneca-Ilamatepec","Tejemet, S.A. de C.V.",275,"69 kg","Salvadoran Coffee Council","2019","July 17th, 2020","Consejo Salvadoreño del Café","Bourbon","Washed / Wet",7.08,7.08,7,7.42,7.42,7.33,10,10,10,7.33,80.67,0,"0",1,"Green","6"
"96","Indonesia","Pondokbaru, Benermeriah","Pondokbaru, Benermeriah","PT Rajawali Artha Agro Sejahtera (PTRAAS)",1200,"sumatra","PT. Rajawali Artha Agro Sejahtera",320,"60 kg","Specialty Coffee Association of Indonesia","2020","August 19th, 2020","PTRAAS","Mandheling","Washed / Wet",7.25,7.42,7,7.08,7.17,7.08,10,10,10,7.08,80.08,0.13,"0",5,"Green","1"
"97","Guatemala","LINDA VISTA","HÚMEDO","MERCON GUATEMALA, S. A.",1800,"SANTA ROSA","PABLO ARTURO CHUY FLORES",275,"69 kg","Asociacion Nacional Del Café","2020","August 21st, 2020","Byron Gonzalez","Catuai","Natural / Dry",7,7.08,7,7.17,7.25,7,10,10,10,7.08,79.58,0.11,"0",1,"Green","5"
"98","Brazil","Sítio Capoeira","Natural","Nestlé Brasil S/A",860,"Mogiana","Barbara Fernandes Malta",5,"300 kg","Brazil Specialty Coffee Association","2019","September 22nd, 2019","Rodolfo Carneiro Climaco","Other","Natural / Dry",7.75,7.83,7.75,7.83,7.75,7.83,7.33,7.33,10,7.92,79.33,0.11,"0",0,"Bluish-Green","1"
"99","Taiwan","He Yu Coffee Farm","yes","Heyu high technology Co.Ltd",600,"Dongshi District, Taichung City","He Yu Coffee Farm",150,"2 kg","Blossom Valley International<U+5BB8><U+5DA7><U+570B><U+969B>","2019","November 13th, 2019","Blossom Valley International","Bourbon","Pulped natural / honey",7.08,7.17,7,6.92,6.83,7,10,10,10,7,79,0.11,"0",0,"Green","0"
"100","Brazil","Santa Rita de Cássia","Alfenas","Olam Specialty Coffee",1150,"Carmo de MInas","Carlos Henrique Moreira Carvalho",300,"18000 kg","Brazil Specialty Coffee Association","2019","October 21st, 2019","Pedro Santos e Silva","Catuai","Natural / Dry",7,7.17,6.83,7.17,6.83,7,10,10,10,6.83,78.83,0.11,"0",0,"Bluish-Green","9"
"101","Nicaragua","Aldea Global","Aldea Coffee","Asociación Aldea Global Jinotega",1100,"Matagalpa","Aldea Global",271,"69 kg","Asociación de Cafés Especiales de Nicaragua","2020","June 26th, 2020","Asociación Aldea Global Jinotega","SHG","Washed / Wet",7.17,6.67,6.42,7.08,7.17,6.92,10,10,10,6.92,78.33,0.13,"0",0,"Green","1"
